,params,test_accuracy,test_recall_overall,test_f1_deceased,test_recall_deceased,test_precison
1,"{'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",0.7741231816209029,0.7741231816209029,0.0890703806158199,0.1315834878259794,0.7782136999534771
3,"{'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",0.7716941340314867,0.7716941340314867,0.0868336609747937,0.1278054628599678,0.7752664426504488
9,"{'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",0.7891136326320166,0.7891136326320166,0.0832074191913046,0.0544545791620318,0.7806608938864708
2,"{'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",0.7734268364501771,0.7734268364501771,0.0747850242519469,0.0922434804103324,0.7725027246412075
40,"{'n_neighbors': 12, 'p': 1, 'weights': 'distance'}",0.7935147495665156,0.7935147495665156,0.0732814563721409,0.0555669262143121,0.7872072661738577
44,"{'n_neighbors': 13, 'p': 1, 'weights': 'distance'}",0.7936262740383802,0.7936262740383802,0.072356008836666,0.0546780373254233,0.7872676175005267
48,"{'n_neighbors': 14, 'p': 1, 'weights': 'distance'}",0.793838440664502,0.793838440664502,0.0719708119188167,0.054233345692745,0.7873952934912047
