,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_recall_overall,split1_test_recall_overall,split2_test_recall_overall,split3_test_recall_overall,split4_test_recall_overall,mean_test_recall_overall,std_test_recall_overall,rank_test_recall_overall,split0_train_recall_overall,split1_train_recall_overall,split2_train_recall_overall,split3_train_recall_overall,split4_train_recall_overall,mean_train_recall_overall,std_train_recall_overall,split0_test_recall_deceased,split1_test_recall_deceased,split2_test_recall_deceased,split3_test_recall_deceased,split4_test_recall_deceased,mean_test_recall_deceased,std_test_recall_deceased,rank_test_recall_deceased,split0_train_recall_deceased,split1_train_recall_deceased,split2_train_recall_deceased,split3_train_recall_deceased,split4_train_recall_deceased,mean_train_recall_deceased,std_train_recall_deceased,split0_test_f1_deceased,split1_test_f1_deceased,split2_test_f1_deceased,split3_test_f1_deceased,split4_test_f1_deceased,mean_test_f1_deceased,std_test_f1_deceased,rank_test_f1_deceased,split0_train_f1_deceased,split1_train_f1_deceased,split2_train_f1_deceased,split3_train_f1_deceased,split4_train_f1_deceased,mean_train_f1_deceased,std_train_f1_deceased,split0_test_precison,split1_test_precison,split2_test_precison,split3_test_precison,split4_test_precison,mean_test_precison,std_test_precison,rank_test_precison,split0_train_precison,split1_train_precison,split2_train_precison,split3_train_precison,split4_train_precison,mean_train_precison,std_train_precison
5,8.364191627502441,0.8997207534853159,6.466084051132202,0.08075614265221985,3,1,uniform,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.7815496348280223,0.7793735634528812,0.7772654943082133,0.7799583826349504,0.7814242580855751,0.7799142666619285,0.0015661931106549318,46,0.8651069168703908,0.8653245247477959,0.866541768812031,0.8657087386563393,0.865178777863914,0.8655721453900942,0.0005275071315997336,0.7815496348280223,0.7793735634528812,0.7772654943082133,0.7799583826349504,0.7814242580855751,0.7799142666619285,0.0015661931106549318,46,0.8651069168703908,0.8653245247477959,0.866541768812031,0.8657087386563393,0.865178777863914,0.8655721453900942,0.0005275071315997336,0.1,0.09555555555555556,0.08555555555555555,0.08,0.08453837597330367,0.08912989741688296,0.0074385647598695995,5,0.4181717143651014,0.4198388441233676,0.40733537093637123,0.4131703250903029,0.4041666666666667,0.4125365842363619,0.006042970435318158,0.08666345690900337,0.0812470477090222,0.07727044656297039,0.07358201328564129,0.07592407592407592,0.07893740807814263,0.004594898268922225,8,0.3755927127526828,0.3675057764806032,0.37076378351036926,0.370130678282514,0.36807487983809767,0.37041356617285337,0.002861850160441172,0.7822492289192522,0.7810023582588954,0.7775568732105469,0.7797827003202253,0.7820166018241134,0.7805215525066066,0.001719676615054635,34,0.8657418258068869,0.8663805636596638,0.8670815345374016,0.8664147712418192,0.865782063524566,0.8662801517540675,0.0004915904865776238
6,8.390918254852295,0.9346580754219965,5.481236553192138,0.07038474675378742,3,2,distance,"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.7811688223373726,0.7786935411481497,0.7775103023379167,0.7813456281366029,0.7806082202214183,0.7798653028362922,0.0015074153459950412,47,0.9209029366863081,0.9209811395172506,0.9218005691806044,0.9213313521949494,0.9211310130972296,0.9212294021352685,0.00032078654211887994,0.7811688223373726,0.7786935411481497,0.7775103023379167,0.7813456281366029,0.7806082202214183,0.7798653028362922,0.0015074153459950412,47,0.9209029366863081,0.9209811395172506,0.9218005691806044,0.9213313521949494,0.9211310130972296,0.9212294021352685,0.00032078654211887994,0.08,0.08777777777777777,0.08,0.07222222222222222,0.08008898776418243,0.08001779755283647,0.004919227365729847,8,0.7232564601278133,0.720755765490414,0.7165879410947485,0.7218671853292581,0.7166666666666667,0.7198268037417802,0.002730031774871682,0.07821835958718089,0.08315789473684211,0.07864554888039324,0.07295173961840629,0.077502691065662,0.0780952467776969,0.0032482358810858305,12,0.6535274918403213,0.636798821652142,0.6522508851795651,0.6488511488511488,0.6523388116308471,0.6487534318308048,0.006177394764002452,0.7795338942701037,0.7780182877392661,0.7762073668257934,0.7793682279570961,0.7796824448183274,0.7785620443221173,0.0013183246170579465,40,0.9216546556337436,0.9219846106400649,0.9224446292340154,0.9221282390355818,0.9217307646438374,0.9219885798374486,0.0002847720302757292
7,8.432799005508423,0.8981359257397925,7.0105749607086185,0.1308143228315525,3,2,uniform,"{'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.7784623335645409,0.776571871557387,0.7751846260557347,0.7773470969847811,0.7777248864347306,0.7770581629194349,0.001117704612944675,48,0.863355853481896,0.863437456435923,0.8645152954536954,0.8637740686212841,0.8630571082731514,0.86362795645319,0.0004989824036380989,0.7784623335645409,0.776571871557387,0.7751846260557347,0.7773470969847811,0.7777248864347306,0.7770581629194349,0.001117704612944675,48,0.863355853481896,0.863437456435923,0.8645152954536954,0.8637740686212841,0.8630571082731514,0.86362795645319,0.0004989824036380989,0.09888888888888889,0.09555555555555556,0.08444444444444445,0.07555555555555556,0.08231368186874305,0.0873516252626375,0.008641675285692846,6,0.42233953876076685,0.4206724090025007,0.4098360655737705,0.4126146151708808,0.4038888888888889,0.41387030347936155,0.0068626095857710475,0.08574181117533719,0.08225729316116691,0.07661290322580645,0.06921119592875319,0.07359522625559424,0.0774836859493316,0.005921088253746186,15,0.37843893937507783,0.3665415809224065,0.37308713797900594,0.37074023218075147,0.366385284112385,0.3710386349139253,0.0044928183449010044,0.7788914129590861,0.7777421645442169,0.7752681971445504,0.7770223444827636,0.7782552960881426,0.777435883043752,0.001245286290641536,48,0.8639501315626569,0.8644917063996134,0.8649755279787508,0.8643737717273697,0.8636346468680235,0.8642851569072828,0.00046098433556027743
8,8.36345615386963,0.8821555849556739,5.249109077453613,0.09112096158247357,4,1,distance,"{'n_neighbors': 4, 'p': 1, 'weights': 'distance'}",0.7896691011465176,0.7872890230799571,0.7842561236008541,0.7888394739347451,0.7886461931833637,0.7877399829890874,0.0019022216063195505,33,0.9228478070906166,0.9227696042596742,0.9240480505394295,0.9228750080752923,0.9233172848069416,0.9231715509543909,0.0004782883632749881,0.7896691011465176,0.7872890230799571,0.7842561236008541,0.7888394739347451,0.7886461931833637,0.7877399829890874,0.0019022216063195505,33,0.9228478070906166,0.9227696042596742,0.9240480505394295,0.9228750080752923,0.9233172848069416,0.9231715509543909,0.0004782883632749881,0.06555555555555556,0.07111111111111111,0.07444444444444444,0.06111111111111111,0.058954393770856504,0.06623532319861573,0.005846273108479327,10,0.6740761322589608,0.6607390941928314,0.6704640177827175,0.6699083078632954,0.6658333333333334,0.6682041770862277,0.004557173727988955,0.07824933687002653,0.08527648234510327,0.08975217682518417,0.07539410555174778,0.07104557640750671,0.07994353559991368,0.006743753621868904,5,0.7050276082534147,0.7049058840966357,0.7050401753104456,0.6997533014076331,0.7068711294603364,0.7043196197056931,0.0023968987849539826,0.7842563041243215,0.7820692923349026,0.7788138534245785,0.7829354495183769,0.7831140734867705,0.78223779457779,0.0018482821190717157,28,0.9250465436387115,0.9248534885739088,0.9260546764291915,0.9249528588947523,0.9253494392887256,0.9252514013650579,0.0004345782201436022
9,8.363872718811034,0.9034511512943448,6.755245399475098,0.08311095712370055,4,1,uniform,"{'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",0.7908931412950345,0.7889618779495967,0.786663402559604,0.7887170699198933,0.7903326714359546,0.7891136326320166,0.0014721837903808467,27,0.8515982278558484,0.8509692050852241,0.8526896673659586,0.8516288289636085,0.8515171297618562,0.8516806118064991,0.0005586568897301271,0.7908931412950345,0.7889618779495967,0.786663402559604,0.7887170699198933,0.7903326714359546,0.7891136326320166,0.0014721837903808467,27,0.8515982278558484,0.8509692050852241,0.8526896673659586,0.8516288289636085,0.8515171297618562,0.8516806118064991,0.0005586568897301271,0.057777777777777775,0.05444444444444444,0.058888888888888886,0.05555555555555555,0.04560622914349277,0.05445457916203189,0.004694939862779333,28,0.17032509030286191,0.15282022784106697,0.16615726590719646,0.16615726590719646,0.16444444444444445,0.16398085888055328,0.005907577578088084,0.08688387635756056,0.08340425531914894,0.09067579127459366,0.08389261744966443,0.07118055555555555,0.08320741919130463,0.006548993951702095,3,0.25504472644060744,0.238353196099675,0.2529610829103215,0.24875207986688855,0.25234441602728047,0.2494911002689546,0.005926618166227537,0.7830616696832357,0.7805883421602744,0.7779144540094042,0.7803760219169865,0.7813639816624527,0.7806608938864708,0.0016665776091968067,33,0.8531748255123764,0.8524387952774624,0.8542554632990352,0.8529361838316085,0.8532276102490541,0.8532065756339074,0.0005940057679521696
10,8.36710033416748,0.9046204549950683,5.948130512237549,0.4322000258612843,4,2,distance,"{'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",0.7864729963142791,0.7837529070953527,0.7821616549022808,0.7860513824853456,0.7850828278432119,0.784704353728094,0.0015783785186127533,44,0.9228478070906166,0.9227696042596742,0.9240480505394295,0.9228750080752923,0.9233172848069416,0.9231715509543909,0.0004782883632749881,0.7864729963142791,0.7837529070953527,0.7821616549022808,0.7860513824853456,0.7850828278432119,0.784704353728094,0.0015783785186127533,44,0.9228478070906166,0.9227696042596742,0.9240480505394295,0.9228750080752923,0.9233172848069416,0.9231715509543909,0.0004782883632749881,0.06333333333333334,0.07,0.07222222222222222,0.06666666666666667,0.058954393770856504,0.06623532319861575,0.004725151575037217,9,0.6740761322589608,0.6607390941928314,0.6704640177827175,0.6699083078632954,0.6658333333333334,0.6682041770862277,0.004557173727988955,0.07666442501681238,0.08548168249660788,0.08795669824086604,0.08241758241758242,0.07171853856562924,0.08084778534749959,0.0059214450705192545,4,0.7050276082534147,0.7049058840966357,0.7050401753104456,0.6997533014076331,0.7068711294603364,0.7043196197056931,0.0023968987849539826,0.7806939129486881,0.7782099049827627,0.7764803437311355,0.7800221166475704,0.7793942224721707,0.7789601001564656,0.00148555933832742,39,0.9250465436387115,0.9248534885739088,0.9260546764291915,0.9249528588947523,0.9253494392887256,0.9252514013650579,0.0004345782201436022
11,8.60968804359436,1.0598083971435666,7.265737247467041,0.14198100656198392,4,2,uniform,"{'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",0.7862145878384811,0.7850313490282481,0.7835080990656493,0.7855617664259388,0.7874221363871283,0.7855475877490891,0.001294993378923247,42,0.849139938865787,0.8486435208954564,0.8499287674213807,0.8490821367733512,0.8486678363050308,0.8490924400522012,0.00046553679010136195,0.7862145878384811,0.7850313490282481,0.7835080990656493,0.7855617664259388,0.7874221363871283,0.7855475877490891,0.001294993378923247,42,0.849139938865787,0.8486435208954564,0.8499287674213807,0.8490821367733512,0.8486678363050308,0.8490924400522012,0.00046553679010136195,0.051111111111111114,0.052222222222222225,0.052222222222222225,0.05444444444444444,0.04338153503893215,0.05067630700778643,0.0038047685902783076,33,0.1667129758266185,0.15282022784106697,0.1647679911086413,0.16365657126979716,0.16416666666666666,0.1624248865425581,0.004912802922077304,0.077834179357022,0.08020477815699659,0.08117443868739206,0.08193979933110367,0.06866197183098591,0.07796303347270003,0.004851382492056895,13,0.250888563662973,0.23850823937554205,0.25239412640987446,0.24664991624790622,0.25229455709711845,0.24814708055868281,0.005251732095935217,0.7776549908758121,0.776120397217986,0.774229352009376,0.7767362167558007,0.7780696632071544,0.7765621240132259,0.0013516129969163226,49,0.8507906804550165,0.8502813702421498,0.8517465249617038,0.8505339752120407,0.8505366164557957,0.8507778334653413,0.0005104226651800176
12,8.631493043899535,1.0202346145627743,5.689550924301147,0.1469938949555407,5,1,distance,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.7912331524474002,0.7887850721503665,0.7848001414446394,0.790172317652019,0.7910535048826266,0.7892088377154104,0.002368337845081693,26,0.9259657199590625,0.9256019067890258,0.9260133216822449,0.9258161145433464,0.9255613584125559,0.9257916842772472,0.00018388795214594427,0.7912331524474002,0.7887850721503665,0.7848001414446394,0.790172317652019,0.7910535048826266,0.7892088377154104,0.002368337845081693,26,0.9259657199590625,0.9256019067890258,0.9260133216822449,0.9258161145433464,0.9255613584125559,0.9257916842772472,0.00018388795214594427,0.06222222222222222,0.07444444444444444,0.07222222222222222,0.05555555555555555,0.05672969966629588,0.06423482882214807,0.007794126479482627,11,0.6710197277021395,0.6632397888302306,0.6712975826618505,0.6699083078632954,0.6694444444444444,0.668981970300392,0.0029515808471916698,0.07552258934592043,0.09023569023569022,0.08910212474297462,0.0704225352112676,0.06948228882833786,0.07895304567283815,0.00899482905737559,7,0.7058307759754494,0.7047534691467375,0.7049897869857018,0.699854862119013,0.7055035128805621,0.7041864814214929,0.0021985439334264935,0.7863332017290241,0.7843657666233274,0.7800517621043971,0.7847720151224659,0.7863093438381662,0.784366417883476,0.002298867721156346,10,0.9263358447300465,0.9259979249687281,0.926422285939934,0.9262169065725515,0.9259050420960371,0.9261756008614593,0.00019647318164844885
13,8.57470531463623,0.9320267649132021,7.277683687210083,0.1366498669575879,5,1,uniform,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.790172317652019,0.7884994627823793,0.7852761570579515,0.7879010431542155,0.7897478442999755,0.7883193649893082,0.0017287295680648359,30,0.8514146212092878,0.8508604011465215,0.8517478332715644,0.8512344146858116,0.8506024997619922,0.8511719540150355,0.000403923001783462,0.790172317652019,0.7884994627823793,0.7852761570579515,0.7879010431542155,0.7897478442999755,0.7883193649893082,0.0017287295680648359,30,0.8514146212092878,0.8508604011465215,0.8517478332715644,0.8512344146858116,0.8506024997619922,0.8511719540150355,0.000403923001783462,0.058888888888888886,0.058888888888888886,0.05444444444444444,0.04555555555555556,0.04338153503893215,0.05223186256334199,0.006579192809610862,32,0.14837454848569048,0.13475965545984997,0.14448457904973605,0.14754098360655737,0.14472222222222222,0.14397639776481122,0.004854129026765371,0.08833333333333333,0.08922558922558922,0.08440999138673558,0.07002561912894961,0.06753246753246753,0.07990540012141505,0.009261607408430192,6,0.22670345998726385,0.20815450643776826,0.22174840085287847,0.22208281053952325,0.2217021276595745,0.22007826109540166,0.006253218585557964,0.7834818794656826,0.7820405172843373,0.7785011018120302,0.7807190322656412,0.7828036202238022,0.7815092302102988,0.0017619481149611,30,0.8478132925345645,0.847027021860056,0.8480887105176811,0.8474343450981963,0.8469799394312194,0.8474686618883434,0.0004331982875837258
14,8.559477996826171,0.9196853852714374,6.249479675292969,0.17152338727367553,5,2,distance,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.7874386279869979,0.7869898132658751,0.7817400410733472,0.7879826458307833,0.7877077496395832,0.7863717755593174,0.0023389244892614907,40,0.9259657199590625,0.9256019067890258,0.9260133216822449,0.9258161145433464,0.9255613584125559,0.9257916842772472,0.00018388795214594427,0.7874386279869979,0.7869898132658751,0.7817400410733472,0.7879826458307833,0.7877077496395832,0.7863717755593174,0.0023389244892614907,40,0.9259657199590625,0.9256019067890258,0.9260133216822449,0.9258161145433464,0.9255613584125559,0.9257916842772472,0.00018388795214594427,0.06111111111111111,0.07222222222222222,0.06333333333333334,0.056666666666666664,0.05561735261401557,0.061790137189469775,0.005933365798551472,13,0.6710197277021395,0.6632397888302306,0.6712975826618505,0.6699083078632954,0.6694444444444444,0.668981970300392,0.0029515808471916698,0.07493188010899182,0.08825526137135098,0.07878369039391846,0.07218683651804671,0.06944444444444445,0.07672042256735048,0.006542197254672574,20,0.7058307759754494,0.7047534691467375,0.7049897869857018,0.699854862119013,0.7055035128805621,0.7041864814214929,0.0021985439334264935,0.7822112578165614,0.7824071744868204,0.7767264072435957,0.7824480507888312,0.7826623747253164,0.781291053012225,0.002286817094431046,31,0.9263358447300465,0.9259979249687281,0.926422285939934,0.9262169065725515,0.9259050420960371,0.9261756008614593,0.00019647318164844885
