,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__criterion,param_base_estimator__max_depth,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_recall_overall,split1_test_recall_overall,split2_test_recall_overall,split3_test_recall_overall,split4_test_recall_overall,mean_test_recall_overall,std_test_recall_overall,rank_test_recall_overall,split0_train_recall_overall,split1_train_recall_overall,split2_train_recall_overall,split3_train_recall_overall,split4_train_recall_overall,mean_train_recall_overall,std_train_recall_overall,split0_test_recall_deceased,split1_test_recall_deceased,split2_test_recall_deceased,split3_test_recall_deceased,split4_test_recall_deceased,mean_test_recall_deceased,std_test_recall_deceased,rank_test_recall_deceased,split0_train_recall_deceased,split1_train_recall_deceased,split2_train_recall_deceased,split3_train_recall_deceased,split4_train_recall_deceased,mean_train_recall_deceased,std_train_recall_deceased,split0_test_f1_deceased,split1_test_f1_deceased,split2_test_f1_deceased,split3_test_f1_deceased,split4_test_f1_deceased,mean_test_f1_deceased,std_test_f1_deceased,rank_test_f1_deceased,split0_train_f1_deceased,split1_train_f1_deceased,split2_train_f1_deceased,split3_train_f1_deceased,split4_train_f1_deceased,mean_train_f1_deceased,std_train_f1_deceased
0,0.03153419494628906,0.001711384151926603,0.022686338424682616,0.0059593535353081395,gini,2,2,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 2, 'n_estimators': 2}",0.721,0.7295,0.72,0.717,0.722,0.7219,0.004152107898405363,19,0.7235,0.72075,0.72375,0.722875,0.72325,0.722825,0.0010770329614269013,0.721,0.7295,0.72,0.717,0.722,0.7219,0.004152107898405363,19,0.7235,0.72075,0.72375,0.722875,0.72325,0.722825,0.0010770329614269013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.055446958541870116,0.011137094057387529,0.03153414726257324,0.00366943682860428,gini,2,4,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 2, 'n_estimators': 4}",0.521,0.732,0.5035,0.6205,0.737,0.6228,0.09956635978080147,32,0.519125,0.732625,0.497375,0.616125,0.73825,0.6206999999999999,0.10187509509198014,0.521,0.732,0.5035,0.6205,0.737,0.6228,0.09956635978080147,32,0.519125,0.732625,0.497375,0.616125,0.73825,0.6206999999999999,0.10187509509198014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.009615384615384616,0.009615384615384616,0.028846153846153848,0.0,0.009615384615384616,0.011538461538461539,0.009421114395319917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.01886792452830189,0.01886792452830189,0.0031185031185031182,0.0,0.01886792452830189,0.011944455340681757,0.00853663543545696
2,0.10364899635314942,0.04137589451295548,0.029599857330322266,0.017837817029805532,gini,2,6,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 2, 'n_estimators': 6}",0.725,0.7385,0.717,0.591,0.726,0.6994999999999999,0.05468454992043001,27,0.729,0.7355,0.7225,0.58725,0.72725,0.7003,0.05667834683545382,0.725,0.7385,0.717,0.591,0.726,0.6994999999999999,0.05468454992043001,27,0.729,0.7355,0.7225,0.58725,0.72725,0.7003,0.05667834683545382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.0,0.009615384615384616,0.007692307692307693,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.01904761904761905,0.01886792452830189,0.01904761904761905,0.0,0.01904761904761905,0.015202156334231809,0.007601396767742554
3,0.1136052131652832,0.007365705495730258,0.022242927551269533,0.006021344755254413,gini,2,8,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 2, 'n_estimators': 8}",0.71,0.728,0.7265,0.625,0.7255,0.703,0.03953858874567984,26,0.716875,0.71975,0.730375,0.624625,0.7255,0.703425,0.039674818840166125,0.71,0.728,0.7265,0.625,0.7255,0.703,0.03953858874567984,26,0.716875,0.71975,0.730375,0.624625,0.7255,0.703425,0.039674818840166125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.009615384615384616,0.0,0.019230769230769232,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.006081303192631499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.01904761904761905,0.0,0.028985507246376815,0.01904761904761905,0.01904761904761905,0.017225672877846793,0.009433726453597115
4,0.04002699851989746,0.00604462868870207,0.02005314826965332,0.006133235511003351,gini,4,2,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 4, 'n_estimators': 2}",0.7155,0.722,0.721,0.6945,0.5925,0.6891,0.049310647937337006,30,0.717875,0.71725,0.725,0.703625,0.588,0.6903500000000001,0.05164030644758028,0.7155,0.722,0.721,0.6945,0.5925,0.6891,0.049310647937337006,30,0.717875,0.71725,0.725,0.703625,0.588,0.6903500000000001,0.05164030644758028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.009615384615384616,0.04807692307692308,0.028846153846153848,0.019230769230769232,0.019230769230769232,0.025,0.013042942275240901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.01904761904761905,0.07352941176470588,0.05607476635514019,0.03571428571428572,0.037383177570093455,0.04434985209036886,0.01872020766317108
5,0.08185005187988281,0.005586032978195264,0.018557310104370117,0.005886686002241494,gini,4,4,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 4, 'n_estimators': 4}",0.7165,0.731,0.7105,0.712,0.649,0.7038,0.0283418418596957,25,0.7245,0.741375,0.720625,0.72325,0.64975,0.7119,0.031922112242143356,0.7165,0.731,0.7105,0.712,0.649,0.7038,0.0283418418596957,25,0.7245,0.741375,0.720625,0.72325,0.64975,0.7119,0.031922112242143356,0.0,0.038461538461538464,0.0,0.0,0.0,0.007692307692307693,0.015384615384615385,18,0.028846153846153848,0.038461538461538464,0.04807692307692308,0.08653846153846154,0.019230769230769232,0.044230769230769226,0.02323662687229725,0.0,0.06451612903225806,0.0,0.0,0.0,0.012903225806451613,0.02580645161290323,18,0.05607476635514019,0.06896551724137931,0.06666666666666667,0.14285714285714288,0.037037037037037035,0.07432022603147323,0.03607628535628808
6,0.11418404579162597,0.004459878141332366,0.026637983322143555,0.005847559087429788,gini,4,6,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 4, 'n_estimators': 6}",0.6935,0.7295,0.7215,0.691,0.6945,0.706,0.016161683080669564,24,0.70825,0.74225,0.733625,0.710125,0.708125,0.720475,0.014533882826003493,0.6935,0.7295,0.7215,0.691,0.6945,0.706,0.016161683080669564,24,0.70825,0.74225,0.733625,0.710125,0.708125,0.720475,0.014533882826003493,0.0,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.0,0.038461538461538464,0.04213250442347432,2,0.057692307692307696,0.0673076923076923,0.11538461538461539,0.1346153846153846,0.07692307692307693,0.09038461538461538,0.029542868261033108,0.0,0.06451612903225806,0.04878048780487805,0.12244897959183673,0.0,0.04714911928579457,0.04565177379191404,2,0.07792207792207792,0.12068965517241378,0.14035087719298248,0.15135135135135136,0.13675213675213677,0.12541321967819247,0.025699073656739832
7,0.15404672622680665,0.014041918635486348,0.023624229431152343,0.005728561820806359,gini,4,8,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 4, 'n_estimators': 8}",0.714,0.735,0.7275,0.6725,0.7145,0.7127,0.02162082329607271,22,0.72625,0.75625,0.7385,0.69725,0.728875,0.729425,0.01922264289841539,0.714,0.735,0.7275,0.6725,0.7145,0.7127,0.02162082329607271,22,0.72625,0.75625,0.7385,0.69725,0.728875,0.729425,0.01922264289841539,0.0,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.038461538461538464,0.053846153846153856,0.03922322702763681,1,0.18269230769230768,0.08653846153846154,0.1346153846153846,0.17307692307692307,0.22115384615384615,0.1596153846153846,0.04575145097450123,0.0,0.06451612903225806,0.08695652173913043,0.045801526717557245,0.028169014084507043,0.04508863831469055,0.02983325076843687,3,0.22485207100591714,0.14062499999999997,0.1407035175879397,0.06990291262135923,0.1398176291793313,0.14318022607890948,0.04911990481364942
8,0.04919047355651855,0.009576616821862328,0.024730491638183593,0.005064877463267861,gini,6,2,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 6, 'n_estimators': 2}",0.733,0.743,0.722,0.7445,0.7365,0.7358,0.008078366171448303,9,0.747875,0.747625,0.75025,0.7655,0.75125,0.7524999999999998,0.006645016930001002,0.733,0.743,0.722,0.7445,0.7365,0.7358,0.008078366171448303,9,0.747875,0.747625,0.75025,0.7655,0.75125,0.7524999999999998,0.006645016930001002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.057692307692307696,0.038461538461538464,0.125,0.09615384615384616,0.07692307692307693,0.07884615384615384,0.030039421830410206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.10256410256410257,0.06837606837606838,0.21666666666666667,0.16129032258064518,0.13793103448275862,0.1373656389340483,0.05065978866645397
9,0.0992152214050293,0.0018105097455369953,0.024741983413696288,0.005864268247459995,gini,6,4,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 6, 'n_estimators': 4}",0.7445,0.7525,0.7395,0.742,0.7375,0.7432000000000001,0.005211525688318121,4,0.7555,0.758375,0.766375,0.77875,0.77,0.7658,0.008329390734021334,0.7445,0.7525,0.7395,0.742,0.7375,0.7432000000000001,0.005211525688318121,4,0.7555,0.758375,0.766375,0.77875,0.77,0.7658,0.008329390734021334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.18269230769230768,0.16346153846153846,0.17307692307692307,0.15384615384615385,0.16346153846153846,0.1673076923076923,0.009805806756909195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.2065217391304348,0.2786885245901639,0.2647058823529412,0.25196850393700787,0.24817518248175183,0.2500119664984599,0.02423574978382325
