n_estimators,max_depth,training_score,validation_score,training_confusion_matrix,training_precision,training_recall,validation_confusion_matrix,validation_precision,validation_recall
19,20,0.9254046996501273,0.8037727637466509,"[[  2036   1065      7    521]
 [   124  91176      0   8580]
 [    13      0 120081     40]
 [   124  11424     41  58875]]",0.9077761265646005,0.8272458471838153,"[[   56   464    59   291]
 [  162 18947     8  6003]
 [   29     7 29642   186]
 [  115  6829   275 10454]]",0.6206252313485298,0.6006793660379325
20,21,0.9261153253747786,0.8046839936349912,"[[  2240    976      6    407]
 [   263  92105      0   7512]
 [    14      0 120076     44]
 [   231  12236     41  57956]]",0.892124353735771,0.8403536605376805,"[[   55   483    58   274]
 [  206 19186    10  5718]
 [   27     6 29653   178]
 [  153  6973   275 10272]]",0.6145005490568306,0.6002881278866186
21,22,0.9272577667311557,0.8065880560882397,"[[  2160    955      3    511]
 [   214  90855      0   8811]
 [    19      0 120078     37]
 [   168  10634     42  59620]]",0.8985604321102016,0.837621631839527,"[[   65   462    62   281]
 [  198 18913    14  5995]
 [   34     8 29643   179]
 [  140  6580   268 10685]]",0.6222812695345395,0.6062032649076214
22,23,0.926812350607092,0.8058808328913188,"[[  2090   1031     20    488]
 [   173  91455      0   8252]
 [     0      0 120115     19]
 [   142  11336     64  58922]]",0.9049476889922694,0.8319017243972509,"[[   66   460    55   289]
 [  189 19066    11  5854]
 [   26     6 29653   179]
 [  137  6777   290 10469]]",0.623553843539549,0.6050415167411178
23,24,0.9266763456837137,0.8044255851591933,"[[  2182    937     13    497]
 [   254  90426      0   9200]
 [     8      0 120100     26]
 [   216  10357     57  59834]]",0.8922258318770356,0.8388684474822794,"[[   62   463    64   281]
 [  219 18823     6  6072]
 [   31     8 29633   192]
 [  148  6614   282 10629]]",0.617119103694128,0.6035696136285278
24,25,0.9278629886401888,0.8065472547499558,"[[  2039   1082      8    500]
 [   130  92044      0   7706]
 [    12      0 120078     44]
 [   119  11575     40  58730]]",0.9105159913239884,0.8291044326939203,"[[   59   478    61   272]
 [  163 19175     7  5775]
 [   30     9 29623   202]
 [  136  6807   284 10446]]",0.6226118518741451,0.6035383219259733
25,26,0.9282540027949012,0.8069552681327947,"[[  2230    929      9    461]
 [   266  91441      0   8173]
 [    11      0 120090     33]
 [   236  10934     49  59245]]",0.892509722348102,0.8426051625316812,"[[   64   461    56   289]
 [  220 19037    12  5851]
 [   26     6 29644   188]
 [  153  6658   274 10588]]",0.6200995868419777,0.605786206695309
26,27,0.9284172087029551,0.8079753015898922,"[[  2202    953      8    466]
 [   254  91931      0   7695]
 [    14      0 120072     48]
 [   200  11383     32  58849]]",0.8959145051862185,0.8404602973393283,"[[   62   458    57   293]
 [  218 19198     8  5696]
 [   32     7 29641   184]
 [  159  6724   283 10507]]",0.6193754668295949,0.6056428734683844
27,28,0.9281451988561986,0.8079753015898922,"[[  2220    966      7    436]
 [   258  91979      0   7643]
 [    13      0 120082     39]
 [   224  11507     40  58693]]",0.8940919181165112,0.8412877885156081,"[[   62   466    54   288]
 [  215 19174     9  5722]
 [   25     5 29655   179]
 [  162  6714   280 10517]]",0.6197846183590309,0.6056626766516484
28,29,0.9285464133801644,0.8080297033742707,"[[  2195    951      7    476]
 [   238  90978      0   8664]
 [    13      0 120096     25]
 [   189  10396     56  59823]]",0.8971879537273015,0.8410983179289395,"[[   66   467    57   280]
 [  175 18977     9  5959]
 [   25    10 29653   176]
 [  132  6524   301 10716]]",0.6274098389222962,0.6076497987753916
29,30,0.9283152050104214,0.8078664980211351,"[[  2183    960     12    474]
 [   244  91534      0   8102]
 [     8      0 120101     25]
 [   200  11004     54  59206]]",0.8963680037132986,0.8394846578849253,"[[   62   475    53   280]
 [  188 19045     9  5878]
 [   29     7 29631   197]
 [  160  6579   272 10662]]",0.6215398577813399,0.6062290797504237
30,31,0.9284784109184753,0.8091041386157466,"[[  2171   1019      5    434]
 [   198  92220      0   7462]
 [    15      0 120081     38]
 [   204  11613     47  58600]]",0.8996792465517955,0.8381833900918798,"[[   61   467    58   284]
 [  220 19242     9  5649]
 [   31     7 29638   188]
 [  167  6677   279 10550]]",0.619425391244224,0.6063765738923492
